Treatment,"	R","	G","	B"
"	MV10$\mu$M","	149.008","	140.02","	97.904"
"	MV10$\mu$M","	146.246","	138.904","	100.445"
"	MV10$\mu$M","	148.155","	139.539","	103.211"
"	MV10$\mu$M","	140.978","	133.657","	96.084"
"	MV10$\mu$M","	169.306","	158.38","	109.737"
"	MV10$\mu$M","	158.919","	148.568","	103.416"
"	MV10$\mu$M","	160.713","	149.294","	106.057"
"	MV10$\mu$M","	159.509","	145.721","	102.845"
"	MV10$\mu$M","	152.414","	144.962","	103.571"
"	MV10$\mu$M","	150.469","	141.912","	97.983"
"			MV10$\mu$M & GTFG10$\mu$M","	153.177","	144.882","	106.677"
"			MV10$\mu$M & GTFG10$\mu$M","	152.466","	142.113","	105.402"
"			MV10$\mu$M & GTFG10$\mu$M","	156.275","	143.292","	108.117"
"			MV10$\mu$M & GTFG10$\mu$M","	160.037","	150.868","	110.112"
"			MV10$\mu$M & GTFG10$\mu$M","	155.167","	144.92","	104.543"
"			MV10$\mu$M & GTFG10$\mu$M","	160.332","	149.228","	109.97"
"			MV10$\mu$M & GTFG10$\mu$M","	153.871","	146.178","	109.552"
"			MV10$\mu$M & GTFG10$\mu$M","	151.663","	142.139","	99.747"
"			MV10$\mu$M & GTFG10$\mu$M","	140.667","	134.699","	106.022"
"			MV10$\mu$M & GTFG10$\mu$M","	151.12","	144.775","	105.715"
"			MV10$\mu$M & GTFG50$\mu$M","	105.074","	102.955","	85.375"
"			MV10$\mu$M & GTFG50$\mu$M","	154.201","	142.505","	103.121"
"			MV10$\mu$M & GTFG50$\mu$M","	152.032","	138.542","	103.474"
"			MV10$\mu$M & GTFG50$\mu$M","	152.149","	140.596","	96.411"
"			MV10$\mu$M & GTFG50$\mu$M","	169.966","	155.108","	108.237"
"			MV10$\mu$M & GTFG50$\mu$M","	152.692","	142.726","	109.564"
"			MV10$\mu$M & GTFG50$\mu$M","	155.81","	146.298","	107.009"
"			MV10$\mu$M & GTFG50$\mu$M","	168.905","	155.429","	103.234"
"			MV10$\mu$M & GTFG50$\mu$M","	149.076","	137.979","	102.857"
"			MV10$\mu$M & GTFG50$\mu$M","	155.081","	143.178","	101.466"
"			MV2$\mu$M","	159.455","	149.286","	95.519"
"			MV2$\mu$M","	156.7","	145.995","	99.065"
"			MV2$\mu$M","	144.194","	138.918","	58.694"
"			MV2$\mu$M","	143.523","	137.951","	52.707"
"			MV2$\mu$M","	156.985","	149.266","	100.211"
"			MV2$\mu$M","	142.311","	137.946","	29.014"
"			MV2$\mu$M","	151.012","	146.756","	82.507"
"			MV2$\mu$M","	124.434","	125.494","	20.959"
"			MV2$\mu$M","	130.383","	131.201","	25.45"
"			MV2$\mu$M","	120.59","	112.831","	47.014"
"			MV2$\mu$M & GTFG10$\mu$M","	144.015","	135.574","	71.577"
"			MV2$\mu$M & GTFG10$\mu$M","	146.179","	138.062","	69.538"
"			MV2$\mu$M & GTFG10$\mu$M","	139.84","	136.235","	41.966"
"			MV2$\mu$M & GTFG10$\mu$M","	140.612","	133.309","	41.547"
"			MV2$\mu$M & GTFG10$\mu$M","	138.209","	133.467","	61.19"
"			MV2$\mu$M & GTFG10$\mu$M","	146.581","	135.657","	68.38"
"			MV2$\mu$M & GTFG10$\mu$M","	156.851","	146.225","	99.46"
"			MV2$\mu$M & GTFG10$\mu$M","	137.086","	136.461","	29.081"
"			MV2$\mu$M & GTFG10$\mu$M","	146.473","	139.818","	58.21"
"			MV2$\mu$M & GTFG10$\mu$M","	126.579","	124.5","	29.8"
"			MV2$\mu$M & GTFG50$\mu$M","	136.509","	132.093","	37.622"
"			MV2$\mu$M & GTFG50$\mu$M","	139.333","	125.081","	44"
"			MV2$\mu$M & GTFG50$\mu$M","	154.553","	141.187","	103.621"
"			MV2$\mu$M & GTFG50$\mu$M","	136.642","	131.497","	31.102"
"			MV2$\mu$M & GTFG50$\mu$M","	151.565","	139.346","	89.595"
"			MV2$\mu$M & GTFG50$\mu$M","	145.084","	137.366","	46.307"
"			MV2$\mu$M & GTFG50$\mu$M","	154.816","	142.14","	99.778"
"			MV2$\mu$M & GTFG50$\mu$M","	154.105","	141.644","	65.814"
"			MV2$\mu$M & GTFG50$\mu$M","	150.258","	138.854","	101.989"
"			MV2$\mu$M & GTFG50$\mu$M","	116.914","	111.246","	85.728"
"			MV1$\mu$M","	132.924","	128.375","	65.151"
"			MV1$\mu$M","	112.053","	116.242","	30.197"
"			MV1$\mu$M","	124.507","	127.627","	35.74"
"			MV1$\mu$M","	110.601","	112.539","	27.609"
"			MV1$\mu$M","	125.041","	125.498","	45.105"
"			MV1$\mu$M","	125.813","	127.49","	55.137"
"			MV1$\mu$M","	64.889","	71.528","	35.026"
"			MV1$\mu$M","	73.776","	77.521","	24.197"
"			MV1$\mu$M","	109.622","	118.801","	40.863"
"			MV1$\mu$M","	119.728","	123.211","	57.847"
"			MV1$\mu$M & GTFG10$\mu$M","	125","	126.123","	50.505"
"			MV1$\mu$M & GTFG10$\mu$M","	78.408","	90.464","	30.527"
"			MV1$\mu$M & GTFG10$\mu$M","	112.995","	120.253","	37.174"
"			MV1$\mu$M & GTFG10$\mu$M","	122.225","	127.881","	47.892"
"			MV1$\mu$M & GTFG10$\mu$M","	124.135","	123.486","	56.833"
"			MV1$\mu$M & GTFG10$\mu$M","	121.723","	124.083","	20.698"
"			MV1$\mu$M & GTFG10$\mu$M","	125.137","	134.298","	43.582"
"			MV1$\mu$M & GTFG10$\mu$M","	114.544","	119.16","	53.645"
"			MV1$\mu$M & GTFG10$\mu$M","	106.638","	115.227","	46.271"
"			MV1$\mu$M & GTFG10$\mu$M","	111.344","	120.573","	31.245"
"			MV1$\mu$M & GTFG50$\mu$M","	118.877","	120.24","	31.385"
"			MV1$\mu$M & GTFG50$\mu$M","	107.987","	109.866","	27.922"
"			MV1$\mu$M & GTFG50$\mu$M","	130.399","	129.223","	45.42"
"			MV1$\mu$M & GTFG50$\mu$M","	144.942","	139.575","	72.502"
"			MV1$\mu$M & GTFG50$\mu$M","	104.45","	110.452","	12.504"
"			MV1$\mu$M & GTFG50$\mu$M","	109.625","	116.092","	24.039"
"			MV1$\mu$M & GTFG50$\mu$M","	116.683","	124.662","	23.554"
"			MV1$\mu$M & GTFG50$\mu$M","	125.721","	125.888","	40.012"
"			MV1$\mu$M & GTFG50$\mu$M","	110.316","	117.228","	30.211"
"			MV1$\mu$M & GTFG50$\mu$M","	124.323","	124.719","	42.284"
"			MV0.5$\mu$M","	99.568","	104.239","	29.741"
"			MV0.5$\mu$M","	115.368","	121.722","	45.038"
"			MV0.5$\mu$M","	89.627","	90.527","	30.656"
"			MV0.5$\mu$M","	109.525","	111.663","	22.156"
"			MV0.5$\mu$M","	101.266","	112.166","	23.594"
"			MV0.5$\mu$M","	99.988","	111.252","	45.663"
"			MV0.5$\mu$M","	78.044","	84.842","	39.757"
"			MV0.5$\mu$M","	73.642","	86.31","	11.598"
"			MV0.5$\mu$M","	108.586","	118.557","	33.667"
"			MV0.5$\mu$M","	122.266","	131.445","	26.624"
"			MV0.5$\mu$M & GTFG10$\mu$M","	114.622","	118.655","	64.326"
"			MV0.5$\mu$M & GTFG10$\mu$M","	104.258","	111.665","	31.133"
"			MV0.5$\mu$M & GTFG10$\mu$M","	108.143","	112.993","	34.649"
"			MV0.5$\mu$M & GTFG10$\mu$M","	113.134","	114.473","	42.451"
"			MV0.5$\mu$M & GTFG10$\mu$M","	112.932","	114.257","	54.522"
"			MV0.5$\mu$M & GTFG10$\mu$M","	114.814","	119.732","	54.865"
"			MV0.5$\mu$M & GTFG10$\mu$M","	122.589","	125.212","	51.365"
"			MV0.5$\mu$M & GTFG10$\mu$M","	109.367","	119.209","	37.226"
"			MV0.5$\mu$M & GTFG10$\mu$M","	111.852","	115.317","	50.506"
"			MV0.5$\mu$M & GTFG10$\mu$M","	111.541","	110.095","	51.013"
"			MV0.5$\mu$M & GTFG50$\mu$M","	82.119","	85.569",39.681
"			MV0.5$\mu$M & GTFG50$\mu$M","	114.852","	122.736","	23.561"
"			MV0.5$\mu$M & GTFG50$\mu$M","	101.203","	103.553","	14.417"
"			MV0.5$\mu$M & GTFG50$\mu$M","	120.725","	122.794","	40.362"
"			MV0.5$\mu$M & GTFG50$\mu$M","	98.776","	113.08","	12.553"
"			MV0.5$\mu$M & GTFG50$\mu$M","	90.345","	97.915","	10.521"
"			MV0.5$\mu$M & GTFG50$\mu$M","	116.053","	119.969","	29.498"
"			MV0.5$\mu$M & GTFG50$\mu$M","	91.731","	93.888","	20.081"
"			MV0.5$\mu$M & GTFG50$\mu$M","	99.084","	99.623","	31.252"
"			MV0.5$\mu$M & GTFG50$\mu$M","	128.437","	127.311","	25.918"
